tag1,tag2,post_count
".net","logarithm","7"
".net","zoom","1"
"php","parse-error","1"
"php","phpexcel","1"
"c","logarithm","23"
"c#","biginteger","3"
"c#","polynomial-math","1"
"c++","excel","1"
"c++","numeric","1"
"c++","probability","1"
"c++","sqrt","1"
"python","c++","1"
"python","algorithm","1"
"python","matrix","1"
"python","scale","5"
"java","overflow","1"
"java","spiral","1"
"language-agnostic","math","1"
"vb.net","mschart","1"
"linux","logarithm","1"
"windows","scientific-computing","1"
"arrays","matplotlib","1"
"encryption","math","1"
"mapping","php","1"
"algorithm","language-agnostic","2"
"algorithm","digits","1"
"algorithm","data-structures","1"
"math","c++","10"
"math","algorithm","16"
"math","curve","1"
"math","biginteger","3"
"math","sparql","1"
"math","bignum","1"
"math","scale","1"
"math","polynomial-math","1"
"math","radix","1"
"math","visual-studio-2008","1"
"floating-point","exp","1"
"statistics","graph","2"
"double","logarithm","1"
"int","python","1"
"tree","tree","3"
"tree","recursion","1"
"complexity-theory","list","1"
"complexity-theory","iterated-function","2"
"big-o","complexity-theory","5"
"matlab","performance","1"
"matlab","least-squares","1"
"charts","axes","1"
"html5","charts","1"
"logging","html5","1"
"scheme","scheme","1"
"plot","transformation","1"
"android","java","2"
"label","plot","1"
"axis","python","1"
"axis","highcharts","1"
"visualization","indexing","1"
"fortran","fortran90","2"
"integer","bit-manipulation","1"
"cryptography","cryptography","5"
"for-loop","c++","1"
"ribbon","ggplot2","1"
"regression","logarithm","6"
"logarithm","vb.net","3"
"logarithm","asp.net","1"
"logarithm","iphone","3"
"logarithm","grid","1"
"logarithm","recursion","3"
"logarithm","hash","1"
"logarithm","encoding","1"
"logarithm","cryptography","5"
"logarithm","trigonometry","1"
"logarithm","jquery-ui","1"
"logarithm","analysis","2"
"logarithm","gnuplot","4"
"logarithm","nan","3"
"logarithm","inverse","1"
"logarithm","contour","2"
"logarithm","compiler-optimization","1"
"logarithm","cmath","1"
"logarithm","logistics","1"
"logarithm","sin","1"
"logarithm","equation-solving","2"
"logarithm","python-3.x","3"
"logarithm","constexpr","2"
"logarithm","pandas","2"
"logarithm","javafx-2","2"
"r","logarithm","41"
"r","r-grid","1"
"transformation","logarithm","2"
"image","plot","1"
"graph","algorithm","1"
"graph","graph","8"
"function","formula","1"
"distribution","intervals","1"
"numeric","floating-point","1"
"vector","contour","1"
"character","arrays","1"
"character","logarithm","1"
"idiomatic","c++11","1"
"colors","imshow","1"
"axes","plot","1"
"objective-c","cocoa-touch","1"
"objective-c","logarithm","4"
"objective-c","ios","1"
"acoustics","math","1"
"slider","jquery-ui","1"
"matplotlib","logging","1"
"matplotlib","plot","10"
"matplotlib","axis","1"
"matplotlib","aspect-ratio","1"
"count","arrays","1"
"count","logarithm","1"
"normalization","arrays","1"
"biginteger",".net","3"
"biginteger","bcl","1"
"entropy","logarithm","2"
"lookup-tables","optimization","1"
"jfreechart","logarithm","1"
"nan","c","1"
"digits","numbers","1"
"undefined","entropy","1"
"fractals","logarithm","1"
"char","excel","1"
"rect","plot","1"
"histogram","matlab","1"
"scale","math","1"
"scale","natural-logarithm","1"
"scale","yaxis","1"
"aspect-ratio","aspect-ratio","1"
"sympy","logarithm","1"
"notation","proof","1"
"excel-formula","logarithm","1"
"zero","jquery","1"
"go","logarithm","1"
"time-complexity","math","3"
"time-complexity","nested-loops","2"
"sparse-matrix","logarithm","2"
"mixed-radix","logarithm","1"
"maple","logarithm","1"
"asymptotic-complexity","algorithm","2"
"recurrence-relation","recurrence","1"
"sqrt","sqrt","2"
"javascript","jquery","1"
"javascript","logging","1"
"javascript","d3.js","1"
"javascript","yaxis","1"
"php","optimization","1"
"c","compiler-errors","1"
"c#","c#","18"
"c#","pow","1"
"c++","recursion","1"
"c++","cryptography","1"
"c++","trigonometry","1"
"c++","exp","1"
"c++","natural-logarithm","1"
"ruby","for-loop","1"
"python","import","1"
"python","interpolation","1"
"java","double","1"
"java","rounding","1"
"java","significance","1"
"java","value","1"
"sql","histogram","1"
"sql","polynomial-math","1"
"vb.net","asp.net","1"
"windows","math","1"
"asp.net","logarithm","1"
"arrays","math","1"
"random","perl","1"
"mapping","javascript","1"
"algorithm","excel","1"
"math","javascript","5"
"math","c#","6"
"math","windows","1"
"math","floating-point","3"
"math","optimization","1"
"math","frequency","1"
"math","complex-numbers","1"
"math","sqrt","1"
"lookup","logarithm","1"
"wpf","wpf","1"
"import","logarithm","1"
"excel","logging","1"
"tree","algorithm","2"
"hash","logarithm","1"
"complexity-theory","big-o","5"
"big-o","analysis","1"
"matlab","plot","7"
"charts","excel","1"
"charts","highstock","1"
"logging","arbitrary-precision","1"
"recurrence","logarithm","3"
"plot","loess","1"
"plot","plotrix","1"
"scaling","logarithm","1"
"applet","math","1"
"qt","algorithm","1"
"transparency","fractals","1"
"curve","curve-fitting","1"
"cocoa-touch","cocoa-touch","1"
"binary-tree","layer","1"
"haskell","list","1"
"haskell","scale","1"
"casting","logarithm","1"
"wolfram-mathematica","largenumber","1"
"ribbon","r","1"
"trigonometry","trigonometry","1"
"numbers","random","1"
"regression","regression","6"
"compiler-errors","compiler-errors","1"
"bit-manipulation","bitcount","1"
"numpy","math","2"
"logarithm","encryption","1"
"logarithm","debugging","1"
"logarithm","statistics","4"
"logarithm","jquery","2"
"logarithm","logging","5"
"logarithm","axis","6"
"logarithm","visualization","1"
"logarithm","cuda","2"
"logarithm","casting","1"
"logarithm","glibc","1"
"logarithm","character","1"
"logarithm","idiomatic","1"
"logarithm","linear-algebra","1"
"logarithm","math.h","2"
"logarithm","rect","1"
"logarithm","mschart","2"
"logarithm","notation","1"
"logarithm","graph-drawing","1"
"logarithm","intervals","1"
"logarithm","latitude-longitude","1"
"logarithm","percentage","1"
"logarithm","scientific-software","1"
"logarithm","negative-number","1"
"logarithm","uislider","1"
"logarithm","ssrs-2008","1"
"logarithm","razor","1"
"logarithm","d3.js","3"
"logarithm","pie-chart","1"
"r","curve","2"
"r","graph","1"
"r","histogram","5"
"r","linear-regression","3"
"image","matplotlib","1"
"sign","largenumber","1"
"gnuplot","scale","1"
"input","function","1"
"input","output","1"
"list","sorting","1"
"proof","notation","1"
"gamma","fractals","1"
"vector","vector","1"
"machine-learning","classification","1"
"linechart","javafx-2","1"
"probability","logarithm","1"
"idiomatic","logarithm","1"
"idiomatic","constexpr","1"
"colors","contour","1"
"frequency","frequency","3"
"acoustics","excel","1"
"calculator","calculator","4"
"matplotlib","numpy","2"
"simd","simd","1"
"algebra","linear-algebra","1"
"matrix","numpy","1"
"formula","java","1"
"linear-algebra","math","1"
"linear-algebra","natural-logarithm","1"
"rounding","logarithm","1"
"digits","c++","1"
"digits","algorithm","1"
"fractals","transparency","1"
"char","logarithm","1"
"histogram","matlab-figure","1"
"binary-search","binary-search","1"
"discrete-mathematics","c++","1"
"discrete-mathematics","algorithm","1"
"curve-fitting","plot","1"
"scale","python","5"
"notation","logarithm","1"
"polynomial-math","sql","1"
"graph-drawing","graph-drawing","1"
"prediction","regression","1"
"infinity","logarithm","1"
"uislider","iphone","1"
"visual-c++","c++","1"
"ggplot2","ribbon","1"
"ggplot2","axis-labels","1"
"dataframe","pandas","1"
"sin","python","1"
"equation-solving","equation-solving","2"
"ios","objective-c","1"
"colorbar","python","1"
"trendline","charts","1"
"axis-labels","logarithm","3"
"axis-labels","r","1"
"highstock","logarithm","1"
"loop-invariant","loop-invariant","1"
"iterated-function","iterated-function","3"
"gmpy","logarithm","1"
"pitch-detection","pitch-detection","1"
"swift","linechart","1"
"yaxis","scale","1"
"html","logarithm","1"
"javascript","html5","1"
"javascript","normalization","1"
"javascript","flot","1"
"php","excel","1"
"c","count","1"
"c","c-preprocessor","1"
"c++","algorithm","4"
"c++","compile-time","1"
"c++","floating-point-precision","1"
"python","regression","1"
"python","module","1"
"python","colors","1"
"python","numerical-computing","1"
"python","computer-vision","1"
"python","python-2.5","1"
"python","bar-chart","1"
"python","pandas","1"
"java","exponential","1"
"eclipse","logarithm","1"
"arrays","character","1"
"vb6","math","1"
"random","c++","1"
"random","algorithm","2"
"encryption","logarithm","1"
"iteration","algorithm","1"
"embedded","logarithm","2"
"algorithm","c++","4"
"algorithm","python","1"
"algorithm","graph","1"
"algorithm","matrix","1"
"math","language-agnostic","1"
"math","scheme","1"
"math","split","1"
"math","base","1"
"math","digits","1"
"floating-point","multiplication","1"
"mouse","logarithm","1"
"int","excel-vba","1"
"excel","php","1"
"erlang","logarithm","1"
"optimization","c","2"
"tree","logarithm","3"
"performance","numpy","1"
"time","time-complexity","1"
"complexity-theory","logarithm","15"
"complexity-theory","quicksort","1"
"big-o","proof","2"
"big-o","clrs","1"
"benchmarking","benchmarking","1"
"matlab","simulink","1"
"matlab","bar-chart","1"
"charts","graph","1"
"html5","html5","1"
"logging","eclipse","1"
"recurrence","big-o","1"
"scheme","math","1"
"plot","scale","1"
"plot","r-grid","1"
"primes","loops","1"
"curve","function","1"
"drawing","r","1"
"boost","numbers","1"
"haskell","logarithm","3"
"split","logarithm","1"
"largenumber","largenumber","1"
"equation","logarithm","2"
"ribbon","ribbon","1"
"verilog","logarithm","1"
"numbers","distribution","1"
"numbers","numerical-methods","2"
"module","import","1"
"numpy","glibc","1"
"jquery-ui","slider","1"
"logarithm","html","1"
"logarithm","php","10"
"logarithm","binary","3"
"logarithm","mouse","1"
"logarithm","time","2"
"logarithm","benchmarking","1"
"logarithm","html5","1"
"logarithm","transparency","1"
"logarithm","for-loop","2"
"logarithm","information-retrieval","1"
"logarithm","proof","2"
"logarithm","normal-distribution","1"
"logarithm","gamma","1"
"logarithm","normalization","1"
"logarithm","jfreechart","1"
"logarithm","multiplication","1"
"logarithm","elixir","1"
"logarithm","layer","1"
"logarithm","worksheet-function","1"
"logarithm","curve-fitting","5"
"logarithm","floating-point-exceptions","1"
"logarithm","square","1"
"logarithm","best-fit-curve","1"
"logarithm","numerical-methods","5"
"logarithm","mixed-radix","1"
"logarithm","visual-c++","1"
"logarithm","reporting-services","1"
"logarithm","boxplot","1"
"logarithm","clrs","1"
"logarithm","polar-coordinates","2"
"logarithm","swift","1"
"logarithm","replaygain","1"
"logarithm","turing","1"
"r","r","41"
"r","prediction","1"
"r","dataframe","1"
"r","random-forest","1"
"sum","python","1"
"fft","signal-processing","1"
"graph","matlab","3"
"gnuplot","logarithm","4"
"input","logarithm","1"
"proof","proof","2"
"vector","logarithm","1"
"fixed-point","c","1"
"machine-learning","divide-by-zero","1"
"linechart","swift","1"
"colors","logarithm","2"
"axes","jqplot","1"
"slider","jquery","1"
"calculator","python-3.x","1"
"matplotlib","arrays","1"
"matplotlib","scalar","1"
"rounding","java","1"
"significance","double","1"
"significance","rounding","1"
"significance","significance","1"
"nan","nan","3"
"undefined","wolfram-mathematica","1"
"undefined","undefined","1"
"symbolic-math","logarithm","1"
"spiral","formula","1"
"floating-accuracy","matlab","1"
"solver","matlab","1"
"layer","binary-tree","1"
"discrete-mathematics","ntl","1"
"excel-vba","logarithm","2"
"scale","audio","1"
"javascript","function","1"
"c","floating-point","1"
"c","optimization","2"
"c","exp","1"
"c","branch-prediction","1"
"c++","for-loop","1"
"c++","spectrogram","1"
"c++","ntl","1"
"ruby","logarithm","4"
"python","split","1"
"python","divide-by-zero","1"
"python","motordriver","1"
"java","java","40"
"java","random","2"
"java","discrete-mathematics","2"
"vb.net","graph","1"
"eclipse","java","1"
"arrays","assembly","1"
"sorting","list","1"
"random","logarithm","6"
"algorithm","iteration","1"
"algorithm","logarithm","66"
"algorithm","lookup-tables","1"
"algorithm","quicksort","2"
"math","lua","1"
"math","equation","1"
"math","module","1"
"math","distribution","2"
"math","time-complexity","3"
"math","double-precision","1"
"math","ieee-754","1"
"math","data-structures","1"
"floating-point","c++","4"
"floating-point","algorithm","1"
"floating-point","precision","2"
"floating-point","curve","1"
"audio","logarithm","4"
"binary","java","1"
"statistics","plot","1"
"import","import","1"
"double","double","1"
"double","rounding","1"
"double","significance","1"
"excel","acoustics","1"
"excel","excel-formula","1"
"optimization","optimization","6"
"optimization","branch-prediction","1"
"recursion","factorial","1"
"hash","php","1"
"performance","logarithm","10"
"performance","quicksort","1"
"performance","determinants","1"
"microcontroller","c","1"
"matlab","floating-accuracy","1"
"matlab","equation-solving","2"
"logging","c++","1"
"logging","python","1"
"logging","gridlines","1"
"awk","awk","1"
"plot","logarithm","34"
"plot","ticker","1"
"plot","ggplot2","3"
"plot","polar-coordinates","1"
"primes","logarithm","2"
"primes","sum","1"
"transparency","logarithm","1"
"curve","logarithm","3"
"label","r","1"
"axis","charts","1"
"axis","plot","3"
"integer","c","1"
"loops","python","1"
"cryptography","math","1"
"casting","php","1"
"regression","transformation","1"
"simulink","matlab","1"
"simulink","frequency","1"
"module","python","1"
"bit-manipulation","bitwise-operators","1"
"numpy","curve-fitting","1"
"numpy","cdf","1"
"jquery-ui","jquery","1"
"logarithm","linux","1"
"logarithm","lookup","1"
"logarithm","performance","10"
"logarithm","primes","2"
"logarithm","binary-tree","1"
"logarithm","haskell","3"
"logarithm","largenumber","1"
"logarithm","numbers","4"
"logarithm","acoustics","2"
"logarithm","simd","1"
"logarithm","exponent","4"
"logarithm","excel-formula","1"
"logarithm","bins","1"
"logarithm","arbitrary-precision","1"
"logarithm","xscale","1"
"logarithm","output","1"
"logarithm","ffbase","1"
"logarithm","yaxis","1"
"r","floating-point","1"
"r","transformation","2"
"r","ffbase","1"
"fft","wikipedia","1"
"classification","logarithm","2"
"graph","charts","1"
"graph","plot","2"
"gnuplot","bins","1"
"function","function","3"
"distribution","scale","1"
"list","complexity-theory","1"
"proof","big-o","2"
"normal-distribution","logarithm","1"
"numeric","logarithm","1"
"operator-overloading","c++","1"
"machine-learning","regression","1"
"machine-learning","computer-vision","1"
"character","count","1"
"linechart","linechart","3"
"linechart","morris.js","1"
"raster","plot","1"
"raster","raster","1"
"axes","r","1"
"axes","colorbar","1"
"acoustics","android","1"
"rating","logarithm","1"
"invariants","logarithm","1"
"matplotlib","python","28"
"matplotlib","histogram","3"
"count","count","1"
"biginteger","math","3"
"undefined","infinity","1"
"symbolic-math","symbolic-math","1"
"scientific-computing","calculator","1"
"scientific-computing","underflow","1"
"division","math","1"
"sparql","jena","1"
"histogram","logarithm","14"
"histogram","r","5"
"elixir","elixir","1"
"scale","gnuplot","1"
"mschart","c#","1"
"excel-formula","excel-formula","1"
".net","biginteger","3"
".net","winforms","1"
"php","sql","1"
"c","microcontroller","1"
"c","character","1"
"c","math.h","2"
"c++","c++","41"
"c++","python","1"
"c++","biginteger","1"
"c++","histogram","1"
"c++","bignum","1"
"c++","visual-studio-2008","1"
"python","curve-fitting","1"
"python","square","1"
"python","polar-coordinates","2"
"java","performance","1"
"java","exponent","1"
"language-agnostic","language-agnostic","2"
"windows","windows","1"
"asp.net","vb.net","1"
"asp.net","asp.net","1"
"arrays","normalization","1"
"sorting","logarithm","3"
"vb6","complex-numbers","1"
"iteration","iteration","1"
"iteration","logarithm","1"
"embedded","embedded","2"
"embedded","lookup-tables","1"
"algorithm","complexity-theory","12"
"algorithm","slider","1"
"algorithm","binary-search","1"
"algorithm","master-theorem","1"
"algorithm","natural-logarithm","1"
"math","ruby","2"
"math","math","106"
"math","entropy","1"
"math","brute-force","1"
"math","micro-optimization","1"
"floating-point","ieee-754","1"
"syntax","syntax","1"
"binary","eclipse","1"
"binary","logarithm","3"
"statistics","logarithm","4"
"statistics","r","2"
"int","int","2"
"grid","matlab","1"
"erlang","erlang","1"
"erlang","gaussian","1"
"optimization","php","1"
"complexity-theory","analysis","1"
"big-o","java","1"
"big-o","big-o","34"
"big-o","recurrence","1"
"charts","scale","1"
"charts","gridlines","1"
"charts","ggplot2","1"
"logging","scale","1"
"recurrence","recurrence","3"
"plot","r","16"
"drawing","logarithm","2"
"drawing","plotrix","1"
"label","logarithm","1"
"boost","boost","1"
"visualization","graph","1"
"cryptography","computer-algebra-systems","1"
"for-loop","ruby","1"
"trigonometry","logarithm","1"
"sse","sse","1"
"regression","machine-learning","1"
"module","module","1"
"compiler-errors","c","1"
"logarithm","c","23"
"logarithm","java","40"
"logarithm","random","6"
"logarithm","import","1"
"logarithm","recurrence","3"
"logarithm","qt","2"
"logarithm","interpolation","1"
"logarithm","avr","1"
"logarithm","sse","1"
"logarithm","objective-c","4"
"logarithm","rating","1"
"logarithm","increment","1"
"logarithm","scientific-computing","2"
"logarithm","floating-accuracy","3"
"logarithm","discrete-mathematics","5"
"logarithm","go","1"
"logarithm","jena","1"
"logarithm","sqrt","2"
"logarithm","bar-chart","2"
"logarithm","rstudio","1"
"logarithm","bitcoin","1"
"logarithm","imshow","1"
"logarithm","hyperbolic-function","1"
"r","scale","4"
"r","loess","1"
"r","ff","1"
"glibc","glibc","1"
"transformation","ggplot2","1"
"fft","logarithm","1"
"classification","python","1"
"graph","indexing","1"
"gnuplot","gnuplot","4"
"input","input","1"
"function","javascript","1"
"distribution","perl","1"
"list","haskell","1"
"ada","ada","1"
"raster","logarithm","1"
"raster","r","1"
"frequency","plot","1"
"base","exponent","1"
"acoustics","acoustics","2"
"acoustics","excel-formula","1"
"invariants","java","1"
"increment","increment","1"
"matplotlib","logarithm","32"
"matplotlib","ticker","1"
"matplotlib","axis-labels","1"
"count","character","1"
"overflow","java","1"
"normalization","javascript","1"
"biginteger","c#","3"
"formula","c","1"
"lookup-tables","c","1"
"bit-shift","algorithm","1"
"nan","numpy","1"
"fractals","colors","1"
"multiplication","floating-point","1"
"flot","charts","1"
"gmp","gmp","1"
"math.h","math.h","2"
"worksheet-function","int","1"
"worksheet-function","excel-vba","1"
"brute-force","math","1"
"brute-force","brute-force","1"
"discrete-mathematics","bit-manipulation","1"
"curve-fitting","power-law","1"
"scale","haskell","1"
"scale","ggplot2","2"
"bitwise-operators","python","1"
"time-complexity","complexity-theory","1"
"time-complexity","binary-search","1"
"javascript","javascript","21"
"javascript","floating-point","1"
"javascript","highcharts","2"
"javascript","morris.js","1"
"php","md5","1"
"php","char","1"
"c","function","1"
"c#","scaling","1"
"c#","logarithm","18"
"c#","galois-field","1"
"c++","linux","1"
"c++","floating-point","4"
"c++","performance","1"
"c++","numbers","1"
"c++","visual-c++","1"
"python","element","1"
"python","logarithm","74"
"python","sum","1"
"python","inverse","1"
"python","sin","1"
"python","gmpy","1"
"java","algorithm","4"
"java","biginteger","2"
"vb.net","math","1"
"linux","c++","1"
"asp.net","graph","1"
"embedded","c","2"
"algorithm","sorting","3"
"algorithm","matlab","1"
"algorithm","drawing","1"
"algorithm","bit-shift","1"
"algorithm","drawing2d","1"
"math","vb6","1"
"debugging","math","1"
"lookup","python","1"
"floating-point","javascript","1"
"floating-point","floating-point","13"
"precision","floating-accuracy","2"
"indexing","c++","1"
"audio","frequency","1"
"int","logarithm","2"
"optimization","logarithm","6"
"optimization","expression-evaluation","1"
"tree","recurrence","1"
"recursion","tree","1"
"scalar","python","1"
"performance","time-complexity","1"
"performance","bitcount","1"
"complexity-theory","complexity-theory","15"
"complexity-theory","graph","1"
"big-o","algorithm","18"
"matlab","charts","1"
"matlab","xscale","1"
"html5","javascript","1"
"logging","java","1"
"logging","matplotlib","1"
"recurrence","recurrence-relation","1"
"plot","image","1"
"lua","math","1"
"applet","applet","1"
"conditional","calculator","1"
"android","logarithm","3"
"interpolation","interpolation","1"
"axis","scaling","1"
"axis","logarithm","6"
"axis","r","3"
"binary-tree","exponential","1"
"loops","loops","3"
"md5","logarithm","1"
"cryptography",".net","1"
"equation","equation","2"
"ribbon","logarithm","1"
"exception-handling","exception-handling","1"
"regression","prediction","1"
"compiler-errors","logarithm","1"
"numpy","floating-point","1"
"jquery-ui","logarithm","1"
"logarithm",".net","7"
"logarithm","arrays","7"
"logarithm","embedded","2"
"logarithm","mapping","2"
"logarithm","erlang","1"
"logarithm","scalar","1"
"logarithm","applet","1"
"logarithm","android","3"
"logarithm","fortran","3"
"logarithm","signal-processing","1"
"logarithm","input","1"
"logarithm","list","3"
"logarithm","zoom","1"
"logarithm","invariants","1"
"logarithm","lookup-tables","2"
"logarithm","scale","17"
"logarithm","prediction","1"
"logarithm","lattice","1"
"logarithm","wolframalpha","1"
"logarithm","binning","1"
"logarithm","bcl","1"
"logarithm","exponential","9"
"r","function","1"
"r","ggplot2","10"
"r","rstudio","1"
"classification","classification","2"
"constants","logarithm","1"
"constants","c++11","1"
"graph","ssrs-2008","1"
"distribution","math","2"
"fixed-point","logarithm","2"
"zoom","logarithm","1"
"base","radix","1"
"axes","jfreechart","1"
"acoustics","replaygain","1"
"slider","exponential","1"
"calculator","scientific-software","1"
"matplotlib","square","1"
"biginteger","fixed-point","1"
"biginteger","factorial","1"
"matrix","algorithm","1"
"entropy","infinity","1"
"mathematical-optimization","logarithm","1"
"digits","digits","2"
"quicksort","algorithm","2"
"inverse","logarithm","1"
"inverse","inverse","1"
"floating-accuracy","floating-accuracy","3"
"tag-cloud","logarithm","1"
"bignum","math","1"
"scale","logging","1"
"scale","axis","1"
"scale","intervals","1"
"exponent","math","2"
"time-complexity","performance","1"
"while-loop","time-complexity","1"
"square","python","1"
"polynomial-math","math","1"
"graph-drawing","logarithm","1"
"computer-algebra-systems","computer-algebra-systems","1"
"jena","jena","1"
"infinity","wolfram-mathematica","1"
"infinity","undefined","1"
"javascript","mapping","1"
"javascript","algorithm","2"
"javascript","curve","1"
"javascript","scale","2"
"c","fixed-point","1"
"c","calculator","1"
"c","operator-keyword","1"
"c#","cryptography","2"
"c++","indexing","1"
"c++","boost","1"
"c++","binning","1"
"c++","constexpr","1"
"python","python-3.x","1"
"java","applet","1"
"java","android","2"
"java","invariants","1"
"eclipse","logging","1"
"windows","logarithm","1"
"arrays","arrays","7"
"arrays","logarithm","7"
"iphone","uislider","1"
"random","php","1"
"embedded","microcontroller","1"
"algorithm","c","1"
"algorithm","binary","1"
"algorithm","information-retrieval","1"
"algorithm","numerical-methods","1"
"math","vb.net","1"
"math","encoding","1"
"math","cryptography","1"
"math","numpy","2"
"math","compiler-optimization","1"
"math","pow","1"
"math","racket","1"
"math","master-theorem","1"
"math","little-o","1"
"floating-point","performance","1"
"audio","spectrogram","1"
"syntax","parse-error","1"
"wpf","logarithm","1"
"import","math","1"
"double","java","1"
"excel","c++","1"
"excel","algorithm","1"
"excel","gridlines","1"
"tree","language-agnostic","1"
"recursion","recursion","3"
"scalar","logarithm","1"
"time","algorithm","2"
"complexity-theory","performance","1"
"microcontroller","embedded","1"
"matlab","algorithm","1"
"matlab","precision","1"
"matlab","fortran","1"
"matlab","vector","1"
"matlab","symbolic-math","1"
"matlab","fortran90","1"
"charts","highcharts","2"
"logging","javascript","1"
"recurrence","math","2"
"plot","curve-fitting","1"
"plot","lattice","1"
"scaling","c#","1"
"applet","logarithm","1"
"qt","graph-drawing","1"
"transparency","gamma","1"
"android","android","3"
"interpolation","logarithm","1"
"cocoa-touch","math","1"
"boost","numerical-methods","1"
"cryptography","galois-field","1"
"regression","python","1"
"regression","linear-regression","1"
"element","list","1"
"numpy","logarithm","14"
"analysis","analysis","2"
"logarithm","c++","41"
"logarithm","algorithm","66"
"logarithm","precision","4"
"logarithm","syntax","1"
"logarithm","curve","3"
"logarithm","integer","1"
"logarithm","wikipedia","1"
"logarithm","sign","1"
"logarithm","vector","1"
"logarithm","biginteger","7"
"logarithm","matrix","2"
"logarithm","symbolic-math","1"
"logarithm","sparql","1"
"logarithm","histogram","14"
"logarithm","bignum","1"
"logarithm","gridlines","1"
"logarithm","while-loop","1"
"logarithm","polynomial-math","1"
"logarithm","infinity","1"
"logarithm","compile-time","1"
"logarithm","radix","1"
"logarithm","visual-studio-2008","1"
"logarithm","neo4j","1"
"logarithm","fortran90","2"
"logarithm","easing","1"
"logarithm","rowsum","1"
"logarithm","gmpy","1"
"r","statistics","2"
"r","axis","3"
"r","regression","4"
"r","rect","1"
"r","rowsum","1"
"function","algorithm","1"
"function","curve","1"
"distribution","java","1"
"distribution","random","2"
"list","element","1"
"normal-distribution","normal-distribution","1"
"gamma","transparency","1"
"operator-overloading","operator-overloading","1"
"linechart","javascript","1"
"objective-c","objective-c","4"
"rating","php","1"
"invariants","loop-invariant","1"
"matplotlib","bar-chart","1"
"matplotlib","pandas","1"
"normalization","normalization","1"
"formula","formula","2"
"linear-algebra","logarithm","1"
"linear-algebra","algebra","1"
"lookup-tables","algorithm","1"
"multiplication","precision","1"
"scientific-computing","windows","1"
"math.h","cmath","1"
"sparql","sparql","1"
"floating-accuracy","c++","1"
"floating-accuracy","precision","2"
"elixir","logarithm","1"
"layer","logarithm","1"
"binary-search","time-complexity","1"
"excel-vba","acoustics","1"
"excel-vba","excel-formula","1"
"factorial","c++","2"
"javascript","arrays","2"
"javascript","input","1"
"javascript","exponential","1"
"php","random","1"
"php","rating","1"
"c++","math","10"
"c++","digits","1"
"c++","micro-optimization","1"
"c++","exponential","1"
"python","lookup","1"
"python","performance","2"
"python","primes","2"
"python","bit-manipulation","1"
"java","eclipse","1"
"java","logarithm","40"
"java","division","1"
"asp.net","charts","1"
